hour,price_eur_mwh_mean,price_eur_mwh_median,price_eur_kwh_mean
0,86.1345802238806,91.175,0.08613458022388061
1,79.89280783582089,85.995,0.0798928078358209
2,76.56370335820895,83.975,0.07656370335820896
3,73.69511194029852,81.62,0.07369511194029851
4,73.49419776119403,81.21000000000001,0.07349419776119404
5,78.41712686567165,86.045,0.07841712686567165
6,92.1778171641791,97.18,0.09217781716417911
7,106.27956156716418,106.86,0.10627956156716419
8,108.60708022388059,106.215,0.10860708022388059
9,94.26747201492537,93.7,0.09426747201492537
10,77.86849813432836,82.425,0.07786849813432836
11,65.76715485074627,71.4,0.06576715485074626
12,56.00499067164179,64.82,0.056004990671641795
13,50.170102611940294,59.195,0.05017010261194029
14,51.84237873134328,59.9,0.05184237873134328
15,61.897966417910446,67.965,0.06189796641791045
16,76.48848880597015,78.88499999999999,0.07648848880597015
17,99.87873134328358,94.47999999999999,0.09987873134328358
18,117.83242537313433,107.68,0.11783242537313433
19,127.96713619402983,119.93,0.12796713619402983
20,124.77878731343283,122.17500000000001,0.12477878731343282
21,111.47909514925372,113.21000000000001,0.11147909514925372
22,101.59939365671642,104.89500000000001,0.10159939365671641
23,90.61070895522387,93.735,0.09061070895522387
