,value
Eindhoven BEVs (est),14000.0
Home-charging share %,61.8
Needs middleware share %,23.7
Already smart share %,38.1
Public-only share %,38.2
Needs-middleware EVs (count),3316.0
Already-smart EVs (count),5333.0
