hour,eur_per_mwh,eur_per_kwh,std_mwh,median_mwh
0,77.86697110904007,0.07786697110904006,30.720933502682144,84.18
1,74.97601118359738,0.07497601118359738,30.97950056338209,82.17
2,73.63359739049395,0.07363359739049395,31.225201045474357,81.67
3,76.38673811742777,0.07638673811742777,31.478361398985214,85.22
4,86.46945013979497,0.08646945013979497,33.58067216531317,93.64
5,98.67331780055918,0.09867331780055917,38.82498400289708,101.45
6,103.47145386766076,0.10347145386766075,42.25395223424841,105.06
7,97.094109972041,0.097094109972041,50.45262610000741,96.31
8,82.88939422180802,0.08288939422180802,52.743705296651285,85.0
9,69.50800559179869,0.06950800559179869,53.11320342013348,73.79
10,58.30739981360671,0.058307399813606706,57.12632805573958,66.06
11,50.70537313432836,0.05070537313432836,60.14618813834391,59.81
12,49.51741604477612,0.04951741604477612,60.680183564685464,58.035
13,57.25774253731343,0.05725774253731343,56.5976816668537,64.145
14,71.12137126865672,0.07112137126865671,52.41631033073042,75.57499999999999
15,91.66694029850747,0.09166694029850747,50.962856155533295,89.96
16,115.98529850746269,0.11598529850746268,54.92111444993158,106.84
17,132.50570895522387,0.13250570895522387,51.49373595892657,122.28
18,131.25086753731344,0.13125086753731344,44.15150116559703,125.995
19,116.09640858208955,0.11609640858208956,34.229989385978215,116.53999999999999
20,103.56668843283583,0.10356668843283583,27.934187620958127,105.57
21,94.39751865671641,0.09439751865671642,26.70824634419299,95.745
22,87.9398973880597,0.08793989738805971,28.87492572556787,91.995
23,82.01223880597014,0.08201223880597014,30.225277155223107,86.955
