policy,cost_EUR,kWh_drawn,peak_kW_evening,EUR_per_kWh,savings_vs_unc_%
Uncontrolled,9.689092731992211,32.60869565217391,11.0,0.32296975773307374,0.0
Price-only,8.31463456825641,32.60869565217391,0.0,0.277154485608547,14.185622965476485
Smart (CACCS),8.50729343601602,32.60869565217392,1.6304347826086958,0.28357644786720065,12.197213182551481
