car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
Renault 5 E-Tech,52.0,False,0.0,0.0,532.3556051907785,21.734585820870212,554.0901910116487,542.9516180709928,11.138572940655877,61.13857294065588
Renault 5 E-Tech,52.0,False,0.0,0.0,0.0,25.294195003232666,25.294195003232666,558.7104494885309,-533.4162544852983,-483.4162544852983
Kia EV6 (post-24),77.4,True,2333.249315566991,769.972274137107,0.0,20.303262520477183,790.2755366575842,902.2565470677519,-111.98101041016764,-61.98101041016764
Hyundai Ioniq 5/6,77.4,True,1880.6612942747481,620.6182271106669,928.8877992840688,29.935094538083213,1579.4411209328189,828.5215800880218,750.9195408447971,800.9195408447971
Kia EV6 (post-24),77.4,True,1930.2335224437218,636.9770624064282,275.3502517780802,43.024670797812526,955.3519849823209,849.5206450227982,105.83133995952267,155.83133995952267
Kia EV9,99.8,True,0.0,0.0,0.0,27.92156119647749,27.92156119647749,888.3335627442351,-860.4120015477577,-810.4120015477577
Kia EV6 (post-24),77.4,True,2141.5306330779244,706.7051089157151,0.0,24.228286809480764,730.9333957251959,979.5084234809092,-248.57502775571334,-198.57502775571334
Kia EV6 (post-24),77.4,True,0.0,0.0,1986.558963521692,10.424766916311125,1996.9837304380032,890.7643848198659,1106.2193456181374,1156.2193456181374
Kia EV6 (post-24),77.4,True,2682.134168690069,885.1042756677228,806.5998663838728,50.381448852674886,1742.0855909042705,888.4712136527953,853.6143772514752,903.6143772514752
Hyundai Ioniq 5/6,77.4,True,2865.7719036167578,945.7047281935301,0.0,4.321917826542427,950.0266460200725,895.0887017100034,54.93794431006904,104.93794431006904
Renault 5 E-Tech,52.0,False,479.28161951664896,158.16293444049415,596.934252027087,6.410459347975096,761.5076458155563,498.55099967731314,262.9566461382432,312.9566461382432
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,953.4255036515225,33.402452445896245,986.8279560974188,866.594288739287,120.23366735813181,170.2336673581318
Renault 5 E-Tech,52.0,False,1613.2378390362558,532.3684868819644,0.0,23.40554752817326,555.7740344101376,493.4996951850444,62.27433922509317,112.27433922509317
Hyundai Ioniq 5/6,77.4,True,702.8405956217479,231.9373965551768,0.0,32.74683231602942,264.68422887120624,867.3508452221706,-602.6666163509644,-552.6666163509644
VW ID.7 (77 kWh),77.0,True,506.09584595396626,167.01162916480888,859.2034741581025,24.260861945834716,1050.475965268746,781.8837839997689,268.59218126897713,318.59218126897713
Renault 5 E-Tech,52.0,False,0.0,0.0,0.0,3.4690340625758864,3.4690340625758864,532.9346731878179,-529.465639125242,-479.465639125242
Renault 5 E-Tech,52.0,False,2113.0040226007864,697.2913274582595,0.0,2.4169223101931117,699.7082497684526,661.0437456465621,38.664504121890445,88.66450412189045
Renault 5 E-Tech,52.0,False,1381.418838118517,455.86821657911065,604.1337949427881,0.0,1060.0020115218988,603.6876648895634,456.3143466323354,506.3143466323354
Renault 5 E-Tech,52.0,False,2605.9633220405503,859.9678962733816,0.0,59.49491856805262,919.4628148414342,605.9247973607596,313.5380174806746,363.5380174806746
Kia EV6 (post-24),77.4,True,1689.4932721193632,557.5327797993899,786.0878667064592,8.988435359697384,1352.6090818655464,888.4742556347976,464.1348262307488,514.1348262307488
Kia EV6 (post-24),77.4,True,0.0,0.0,697.4578894065658,18.524899000363845,715.9827884069296,949.2619800489632,-233.27919164203365,-183.27919164203365
VW ID.7 (77 kWh),77.0,True,1197.7476283216627,395.2567173461487,1053.8935174788232,41.43090736081356,1490.5811421857854,972.392846680406,518.1882955053794,568.1882955053794
Kia EV6 (post-24),77.4,True,1327.2336380721752,437.9871005638178,0.0,39.78822296320332,477.77532352702116,848.2203409259416,-370.44501739892047,-320.44501739892047
Hyundai Ioniq 5/6,77.4,True,2293.838253714569,756.9666237258078,0.0,13.647105636875951,770.6137293626838,922.4694081000509,-151.85567873736716,-101.85567873736716
