driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
0,2870.753648674099,103,858.5285212266748,736.1562992159479,733.2087173780752,11.0,0.10679611650485436,0.41156606162937936,122.37222201072689,125.31980384859958,14.253716560968776,14.59704607944082,96.25849034882383
1,2755.8909076335326,144,799.5008416354249,690.9375721262645,703.4310218103291,11.0,0.0763888888888889,0.20022843150680314,108.56326950916036,96.0698198250958,13.578881203813115,12.016224977146925,98.17974153175633
2,3004.2926910456013,80,904.1967219842012,754.8070953939156,782.9674041901654,0.0,0.1375,1.8885869565217397,149.38962659028562,121.22931779403575,16.521805814829737,13.407405141660531,
3,2849.9268771487523,113,780.2791905552986,711.9936491320868,726.6385294222076,11.0,0.625868858200973,0.31842015357708714,68.28554142321173,53.64066113309093,8.751424137636581,6.87454718546533,97.1052713311174
4,2453.8478575269737,141,788.5407390812504,617.4814146451137,619.9355589340755,11.0,0.0,0.2466180375325938,171.05932443613676,168.6051801471749,21.69314988537466,21.38192382344395,97.7580178406128
5,3315.7436456119026,153,1024.7515256365366,829.5376588048181,848.3806011270724,11.0,0.35806606519634004,0.24074167412993003,195.21386683171852,176.3709245094642,19.04987325688138,17.211091674141134,97.81143932609154
8,2541.570424767103,92,747.639682284038,639.3632427085291,658.9231212831747,11.0,1.2539573644350923,0.34853497164461233,108.2764395755089,88.7165610008633,14.48243614420312,11.866218862251177,96.83150025777624
9,2770.5628309630574,87,813.4494533642505,689.5668554180818,733.3310306112065,11.0,1.3014880005293494,0.45914542728635654,123.88259794616874,80.118422753044,15.229292666411808,9.849219570028794,95.82595066103312
10,2793.720682510917,105,883.2580725438457,689.7153481147825,717.2915870196285,11.0,1.0934053275819524,0.3286749482401656,193.54272442906324,165.9664855242172,21.91236405817911,18.790259685509806,97.01204592508941
11,3406.5404583883183,147,1082.0096953987218,845.6881738219109,866.4977007062943,11.0,0.46530170857702846,0.25300364022630606,236.32152157681082,215.5119946924275,21.84098003758886,19.91775079362954,97.69996690703358
12,2996.7369156608415,132,974.9422959133237,751.8487417279975,766.2357658720192,11.0,0.6150028248078081,0.2903718869964597,223.09355418532618,208.70653004130452,22.882744457848414,21.407064901804134,97.36025557275946
13,3522.8478826965493,116,1091.468325034832,897.9470567718689,917.3352500961298,11.0,1.1381067897134216,0.3162481259370314,193.5212682629632,174.1330749387023,17.730360453363346,15.954020006319944,97.12501703693607
14,2693.2564142053084,100,857.1087068271845,672.5975926908345,683.6677405022735,11.0,1.0911789362043074,0.4506577514828769,184.51111413635,173.44096632491096,21.527154334876247,20.235585631482937,95.90311135015567
15,2366.522481322228,89,656.8831370940635,583.5639272956976,607.7472056147261,11.0,0.4653253717324568,0.44577430385930616,73.31920979836593,49.13593147933739,11.161682445178505,7.4801633204813545,95.94750632855175
16,3021.416188057607,99,943.1668925215525,762.9374692033332,773.8188317383366,11.0,1.2257214632175082,0.43642951251646894,180.22942331821935,169.34806078321594,19.108964144869077,17.95525925750687,96.03245897712301
