policy,cost_EUR,peak_kW,savings_vs_unc_pct
Uncontrolled,17.112469717391303,11.0,0.0
Price-only,8.670173456521738,11.0,49.334177943290726
Smart (CACCS),8.734092364130433,7.065217391304345,48.96065554316789
